LocalId,SectorId,DiocesanId,OtherId,TAAId,JurisdictionId,NationalId,PlatformId,PreviousLocalId,PreviousSectorId,PreviousDiocesanId,PreviousOtherId,PreviousTAAId,PreviousJurisdictionId,PreviousNationalId,PreviousPlatformId,FamilyName,GivenName,PreferredName,MiddleName,BirthDate,Sex,CountryOfBirth,EducationSupport,FFPOS,VisaCode,IndigenousStatus,LBOTE,StudentLOTE,YearLevel,TestLevel,FTE,ClassGroup,ASLSchoolId,SchoolLocalId,LocalCampusId,MainSchoolFlag,OtherSchoolId,ReportingSchoolId,HomeSchooledStudent,Sensitive,OfflineDelivery,Parent1SchoolEducation,Parent1NonSchoolEducation,Parent1Occupation,Parent1LOTE,Parent2SchoolEducation,Parent2NonSchoolEducation,Parent2Occupation,Parent2LOTE,AddressLine1,AddressLine2,Locality,Postcode,StateTerritory
jjnxf012,22739,51954,8747,83335,70131,9757,R100000000K,8618,86237,33941,74964,4608,38167,83734,R100000000K,Allen,Norbert,Norbert,M,2007-08-20,1,1101,U,1,101,3,N,1201,3,3,0.26,3C,49360,22782,01,1,fwjxo286,49360,N,N,N,4,6,2,1201,4,8,1,1201,206 E. Hartsdale Avenue,,CLARENCE PARK,5034,SA
grtna044,85605,75677,25500,94453,12092,84969,R100000001E,65951,2616,91395,98491,27121,96063,88691,R100000001E,Hall,Betty,Betty,A,2007-01-12,2,1101,N,2,101,2,N,1201,3,3,0.82,3E,49360,22782,01,2,vqrhr074,49360,Y,Y,Y,2,5,4,1201,2,5,3,1201,516 Main St.,,PARACOMBE,5132,SA
kenrm736,43287,88984,94092,27112,75681,23967,R100000002D,29996,44702,70953,90209,17869,71655,54649,R100000002D,Diaz,Dustin,Dustin,L,2007-06-06,1,1101,Y,1,101,2,Y,1201,3,3,0.03,3D,49360,22782,01,1,zjsfg733,49360,N,N,N,4,7,1,1201,4,5,2,1201,115 Empire St.,,HOLDEN HILL,5088,SA
fnrsg566,44449,31660,92475,46074,3146,81088,R100000003S,71728,23401,44197,32665,3270,52724,69118,R100000003S,Copper,Amado,Amado,Q,2007-01-15,1,1101,N,1,101,4,N,1201,3,3,0.16,3E,49360,22782,01,1,ayiaa910,49360,N,N,Y,2,8,1,1201,3,7,4,1201,11060 S. Western Ave.,,AVOCA DELL,5253,SA
wkuqg963,91329,78752,71383,60079,39918,22194,R100000004R,58001,31642,13657,63731,5850,17506,1399,R100000004R,Copper,Colette,Colette,Dora,2007-02-12,2,1101,Y,1,101,2,X,1201,3,3,0.29,3C,49360,22782,01,2,oulxv070,49360,U,N,N,2,7,3,2201,4,6,4,1201,841 Gravenstein Highway South,,CURRENCY CREEK,5214,SA
cttap553,48334,83307,87186,3239,62082,64277,R100000005G,98355,72889,5858,9492,86952,70015,14736,R100000005G,Pearlman,Casey,Casey,Victor,2007-06-24,1,1101,Y,1,101,3,Y,1201,3,3,0.78,3A,49360,22782,01,2,gwlqa654,49360,N,Y,N,3,5,3,1201,4,8,4,1201,1418 34th Ave,,LENSWOOD,5240,SA
qwinz192,17696,24249,48332,51436,49815,16710,R100000006H,82508,67686,17825,91096,64629,46096,80809,R100000006H,Palumbo,Abbie,Abbie,,2007-04-15,2,1101,N,2,101,4,Y,5203,3,3,0.01,3C,49360,22782,01,1,xomgx347,49360,Y,N,N,1,8,1,1201,1,5,3,1201,909 West Magnolia Avenue,,CAMPBELLTOWN,5074,SA
lzpnt641,41249,53279,25162,88592,86004,70600,R100000007P,50667,39885,2075,45410,92020,48884,57292,R100000007P,Terrell,Alvin,Alvin,F,2007-03-10,1,1101,N,1,101,2,Y,2201,3,3,0.09,3D,49360,22782,01,1,gatyb886,49360,N,Y,Y,3,5,2,1201,3,7,3,9601,636 Park Place,,LONSDALE,5160,SA
txxui693,12605,11410,51049,74646,21260,94545,R100000008A,76572,26291,43419,21824,20184,83824,52102,R100000008A,Shirley,Brooke,Brooke,Y,2007-05-11,2,1101,N,1,101,1,Y,1201,3,3,0.07,3F,49360,22782,01,2,dijxr039,49360,Y,N,Y,3,8,2,1201,3,8,4,1201,233 E. College Avenue,,BIGGS FLAT,5153,SA
ecckv451,92116,22521,61187,64035,94866,6783,R100000009M,31505,53463,44933,48184,7249,52433,79263,R100000009M,Robertson,Eugene,Eugene,,2007-12-01,1,1101,Y,1,101,1,Y,1201,3,3,0.14,3F,49360,22782,01,2,xxdrk409,49360,N,Y,N,3,6,1,1201,1,5,2,1201,581 S. Harris St.,,AUSTRALIA PLAINS,5374,SA
